Gender,Age,Financial_situation
Male,Under 18,"I can afford food, but nothing else"
Male,Not Available,I cannot afford enough food for my family
Female,26 to 35 years old,"I can afford food, but nothing else"
Female,Not Available,I cannot afford enough food for my family
Male,36 to 45 years old,I cannot afford enough food for my family
Female,18 to 25 years old,"I can afford food and regular expenses, but nothing else"
Male,36 to 45 years old,"I can afford food and regular expenses, but nothing else"
Female,36 to 45 years old,"I can afford food and regular expenses, but nothing else"
Female,Not Available,"I can afford food, but nothing else"
Female,Over 45 years old,"I can comfortably afford food, clothes, and furniture, and I have savings"
Male,Not Available,"I can afford food and regular expenses, but nothing else"
Female,Under 18,"I can afford food, but nothing else"
Female,18 to 25 years old,"I can afford food, but nothing else"
Female,Over 45 years old,"I can afford food, but nothing else"
Female,36 to 45 years old,I cannot afford enough food for my family
Female,Over 45 years old,"I can afford food, but nothing else"
Female,18 to 25 years old,"I can afford food, but nothing else"
Female,Not Available,I cannot afford enough food for my family
Female,26 to 35 years old,"I can comfortably afford food, clothes, and furniture, but I donâ€™t have savings"
Female,Not Available,"I can afford food and regular expenses, but nothing else"
Female,Not Available,"I can afford food, but nothing else"
Male,36 to 45 years old,I cannot afford enough food for my family
Female,Over 45 years old,I cannot afford enough food for my family
Male,26 to 35 years old,I cannot afford enough food for my family
Male,Not Available,"I can afford food, but nothing else"
Female,36 to 45 years old,"I can afford food and regular expenses, but nothing else"
Female,36 to 45 years old,"I can afford food and regular expenses, but nothing else"
Male,36 to 45 years old,I cannot afford enough food for my family
Female,Under 18,"I can afford food, regular expenses, and clothes, but nothing else"
Female,26 to 35 years old,"I can afford food, but nothing else"
Male,26 to 35 years old,"I can afford food and regular expenses, but nothing else"
Male,Not Available,"I can afford food, but nothing else"
Female,Not Available,"I can afford food, but nothing else"
Male,Not Available,I cannot afford enough food for my family
Male,26 to 35 years old,"I can afford food, but nothing else"
Male,26 to 35 years old,I cannot afford enough food for my family
Female,36 to 45 years old,I cannot afford enough food for my family
Female,26 to 35 years old,I cannot afford enough food for my family
Female,Not Available,"I can comfortably afford food, clothes, and furniture, and I have savings"
Female,26 to 35 years old,"I can afford food, but nothing else"
Female,26 to 35 years old,"I can afford food and regular expenses, but nothing else"
Male,26 to 35 years old,I cannot afford enough food for my family
Female,Not Available,I cannot afford enough food for my family
Male,Over 45 years old,I cannot afford enough food for my family
Male,Not Available,"I can afford food and regular expenses, and buy new clothes once a year, but nothing else"
Female,Over 45 years old,Prefer not to answer
Female,26 to 35 years old,"I can afford food and regular expenses, but nothing else"
Male,18 to 25 years old,"I can afford food, but nothing else"
Female,Under 18,"I can afford food and regular expenses, but nothing else"
Female,Not Available,I cannot afford enough food for my family
Male,Not Available,"I can afford food and regular expenses, and buy new clothes once a year, but nothing else"
Female,Not Available,I cannot afford enough food for my family
Male,36 to 45 years old,"I can afford food, regular expenses, and clothes, but nothing else"
Female,26 to 35 years old,"I can afford food, but nothing else"
Female,36 to 45 years old,"I can afford food and regular expenses, but nothing else"
Female,18 to 25 years old,I cannot afford enough food for my family
Male,Over 45 years old,"I can afford food, but nothing else"
Male,26 to 35 years old,"I can afford food, but nothing else"
Female,26 to 35 years old,"I can afford food and regular expenses, but nothing else"
Male,26 to 35 years old,"I can afford food, but nothing else"
Female,18 to 25 years old,"I can afford food, regular expenses, and clothes, but nothing else"
Female,Not Available,I cannot afford enough food for my family
Female,18 to 25 years old,"I can afford food, but nothing else"
Female,18 to 25 years old,"I can afford food, but nothing else"
Male,26 to 35 years old,I cannot afford enough food for my family
Female,26 to 35 years old,"I can afford food, but nothing else"
Male,18 to 25 years old,I cannot afford enough food for my family
Female,26 to 35 years old,I cannot afford enough food for my family
Female,36 to 45 years old,"I can afford food and regular expenses, but nothing else"
Female,26 to 35 years old,"I can afford food, but nothing else"
Female,Over 45 years old,"I can afford food, but nothing else"
Female,26 to 35 years old,"I can afford food and regular expenses, but nothing else"
Male,Over 45 years old,"I can afford food and regular expenses, but nothing else"
Male,18 to 25 years old,"I can afford food, but nothing else"
Male,26 to 35 years old,"I can afford food and regular expenses, but nothing else"
Male,36 to 45 years old,"I can afford food, but nothing else"
Male,Under 18,"I can afford food, but nothing else"
Female,Not Available,"I can afford food, but nothing else"
Male,26 to 35 years old,"I can afford food and regular expenses, but nothing else"
Male,18 to 25 years old,"I can afford food, but nothing else"
Female,Over 45 years old,"I can afford food, but nothing else"
Male,Not Available,"I can afford food and regular expenses, but nothing else"
Male,18 to 25 years old,"I can afford food and regular expenses, but nothing else"
Male,26 to 35 years old,I cannot afford enough food for my family
Female,Not Available,"I can afford food, but nothing else"
Female,Over 45 years old,"I can afford food and regular expenses, but nothing else"
Male,Not Available,I cannot afford enough food for my family
Female,18 to 25 years old,"I can afford food, but nothing else"
Male,Not Available,"I can afford food and regular expenses, but nothing else"
Male,26 to 35 years old,"I can afford food and regular expenses, but nothing else"
Male,26 to 35 years old,I cannot afford enough food for my family
Male,Over 45 years old,"I can afford food and regular expenses, but nothing else"
Female,18 to 25 years old,I cannot afford enough food for my family
Male,Not Available,"I can afford food and regular expenses, but nothing else"
Male,Under 18,I cannot afford enough food for my family
Male,Not Available,"I can afford food and regular expenses, but nothing else"
Female,18 to 25 years old,"I can afford food and regular expenses, but nothing else"
Male,18 to 25 years old,"I can afford food, but nothing else"
Female,18 to 25 years old,I cannot afford enough food for my family
Female,Over 45 years old,"I can afford food, but nothing else"
Male,36 to 45 years old,I cannot afford enough food for my family
Male,Not Available,I cannot afford enough food for my family
Female,Not Available,"I can afford food and regular expenses, but nothing else"
Male,Over 45 years old,I cannot afford enough food for my family
Female,26 to 35 years old,"I can afford food, but nothing else"
Female,18 to 25 years old,I cannot afford enough food for my family
Male,Over 45 years old,"I can afford food, but nothing else"
Female,Not Available,"I can afford food and regular expenses, but nothing else"
Female,Not Available,"I can afford food, but nothing else"
Male,18 to 25 years old,"I can afford food, but nothing else"
Female,Not Available,"I can afford food, but nothing else"
Female,Not Available,"I can afford food and regular expenses, but nothing else"
Male,26 to 35 years old,"I can afford food, but nothing else"
Male,Not Available,"I can afford food, but nothing else"
Female,Not Available,"I can afford food and regular expenses, and buy new clothes once a year, but nothing else"
Female,26 to 35 years old,Prefer not to answer
Male,Over 45 years old,"I can afford food, but nothing else"
Male,18 to 25 years old,"I can afford food and regular expenses, but nothing else"
Female,26 to 35 years old,"I can comfortably afford food, clothes, and furniture, but I donâ€™t have savings"
Female,Over 45 years old,I cannot afford enough food for my family
Male,26 to 35 years old,"I can comfortably afford food, clothes, and furniture, and I have savings"
